iter	Passed	Remaining
0	0	88
1	2	99
2	2	95
3	3	90
4	4	93
5	5	88
6	6	85
7	7	83
8	8	81
9	8	79
10	9	78
11	10	79
12	11	79
13	12	77
14	13	76
15	14	76
16	15	76
17	16	75
18	17	74
19	18	74
20	19	73
21	20	72
22	21	71
23	22	69
24	23	69
25	24	68
26	24	67
27	26	68
28	27	67
29	28	65
30	29	65
31	30	65
32	32	65
33	33	64
34	35	65
35	36	64
36	36	62
37	37	61
38	38	60
39	39	59
40	41	59
41	41	57
42	42	56
43	43	55
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	58	39
60	59	38
61	60	37
62	61	35
63	62	35
64	63	34
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	67	27
71	68	26
72	69	25
73	70	24
74	70	23
75	71	22
76	72	21
77	73	20
78	73	19
79	75	18
80	76	17
81	76	16
82	77	15
83	78	14
84	79	13
85	79	13
86	80	12
87	81	11
88	82	10
89	83	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	89	1
98	90	0
99	91	0
