iter	Passed	Remaining
0	161	161098
1	162	81028
2	163	54173
3	163	40703
4	164	32691
5	164	27303
6	165	23460
7	165	20577
8	166	18340
9	167	16540
10	167	15070
11	168	13858
12	168	12828
13	169	11946
14	170	11176
15	170	10503
16	171	9907
17	171	9377
18	172	8902
19	172	8475
20	173	8090
21	175	7787
22	175	7474
23	176	7176
24	177	6908
25	177	6654
26	178	6420
27	178	6198
28	179	5997
29	179	5808
30	180	5634
31	180	5471
32	181	5318
33	182	5173
34	182	5032
35	183	4903
36	183	4778
37	184	4662
38	184	4550
39	185	4442
40	185	4342
41	186	4247
42	187	4166
43	187	4079
44	188	3995
45	188	3915
46	189	3838
47	189	3764
48	190	3694
49	190	3627
50	191	3563
51	192	3504
52	192	3444
53	193	3389
54	194	3333
55	194	3281
56	195	3228
57	195	3177
58	196	3128
59	196	3080
60	197	3035
61	197	2991
62	198	2948
63	198	2908
64	199	2870
65	200	2831
66	200	2793
67	201	2758
68	201	2722
69	202	2689
70	203	2656
71	203	2624
72	204	2592
73	204	2562
74	205	2533
75	206	2505
76	206	2476
77	207	2448
78	207	2420
79	208	2393
80	208	2368
81	209	2343
82	209	2315
83	210	2290
84	210	2267
85	211	2244
86	211	2222
87	212	2201
88	213	2180
89	213	2159
90	214	2138
91	214	2118
92	215	2098
93	215	2079
94	216	2059
95	216	2041
96	217	2024
97	218	2006
98	219	1996
99	219	1979
100	220	1962
101	220	1944
102	221	1928
103	221	1912
104	222	1896
105	223	1880
106	223	1865
107	224	1852
108	224	1838
109	225	1824
110	226	1810
111	226	1796
112	227	1783
113	227	1769
114	228	1756
115	229	1745
116	229	1733
117	230	1722
118	231	1717
119	232	1707
120	233	1699
121	234	1687
122	235	1676
123	235	1666
124	236	1656
125	237	1648
126	238	1636
127	238	1627
128	239	1617
129	240	1607
130	240	1597
131	241	1588
132	242	1579
133	243	1571
134	243	1561
135	244	1551
136	244	1542
137	245	1532
138	245	1523
139	246	1513
140	247	1504
141	247	1494
142	247	1486
143	248	1478
144	249	1469
145	249	1461
146	250	1452
147	250	1444
148	251	1436
149	252	1428
150	252	1420
151	253	1411
152	253	1404
153	254	1396
154	254	1389
155	255	1381
156	256	1375
157	256	1367
158	257	1360
159	257	1353
160	258	1345
161	258	1338
162	259	1331
163	259	1324
164	260	1317
165	261	1311
166	261	1304
167	262	1298
168	262	1291
169	263	1284
170	263	1278
171	264	1272
172	264	1265
173	265	1259
174	265	1253
175	266	1247
176	267	1242
177	267	1236
178	268	1230
179	268	1224
180	269	1219
181	270	1213
182	270	1208
183	271	1202
184	271	1197
185	272	1191
186	272	1186
187	273	1181
188	274	1176
189	274	1170
190	275	1165
191	275	1160
192	276	1155
193	276	1150
194	277	1145
195	278	1140
196	278	1135
197	279	1130
198	279	1126
199	280	1121
200	280	1116
201	281	1111
202	282	1107
203	282	1102
204	283	1098
205	283	1093
206	284	1089
207	285	1087
208	286	1084
209	286	1079
210	287	1075
211	288	1070
212	288	1066
213	289	1062
214	289	1058
215	290	1053
216	291	1050
217	291	1046
218	292	1042
219	292	1038
220	293	1034
221	293	1030
222	294	1026
223	295	1022
224	295	1019
225	296	1014
226	296	1011
227	297	1007
228	298	1004
229	298	1000
230	299	996
231	300	993
232	300	989
233	301	986
234	301	983
235	302	979
236	303	976
237	303	973
238	304	969
239	305	966
240	306	964
241	306	961
242	307	958
243	308	955
244	308	952
245	309	949
246	310	946
247	310	942
248	311	939
249	312	936
250	312	933
251	313	930
252	313	926
253	314	923
254	315	920
255	315	917
256	317	916
257	317	913
258	318	910
259	318	907
260	319	904
261	320	901
262	320	898
263	321	895
264	322	893
265	322	890
266	323	887
267	323	884
268	324	881
269	324	878
270	325	875
271	325	872
272	326	869
273	327	866
274	327	864
275	328	861
276	328	858
277	329	855
278	330	853
279	330	850
280	331	847
281	331	845
282	332	842
283	333	839
284	333	837
285	334	834
286	335	832
287	335	829
288	336	827
289	336	824
290	337	821
291	337	819
292	338	816
293	338	813
294	339	811
295	340	808
296	340	806
297	341	804
298	341	801
299	342	799
300	343	796
301	343	794
302	344	791
303	344	789
304	345	786
305	345	784
306	346	782
307	347	780
308	347	777
309	348	775
310	348	773
311	349	770
312	350	768
313	350	766
314	351	763
315	351	761
316	352	759
317	353	757
318	353	755
319	354	753
320	355	750
321	355	748
322	356	746
323	356	744
324	357	742
325	357	739
326	358	737
327	359	735
328	359	733
329	360	731
330	360	729
331	361	727
332	362	725
333	362	723
334	363	720
335	363	718
336	364	717
337	365	715
338	365	713
339	366	711
340	366	709
341	367	707
342	368	705
343	368	703
344	369	701
345	369	699
346	371	698
347	372	697
348	372	695
349	373	693
350	374	691
351	374	690
352	375	688
353	376	686
354	376	684
355	377	683
356	378	681
357	378	679
358	379	677
359	380	675
360	380	673
361	381	672
362	382	670
363	382	668
364	383	668
365	384	666
366	385	664
367	385	662
368	386	660
369	387	659
370	387	657
371	388	655
372	389	654
373	389	652
374	390	651
375	391	649
376	391	647
377	392	645
378	393	643
379	393	642
380	394	640
381	395	639
382	395	637
383	396	635
384	397	634
385	397	632
386	398	631
387	399	629
388	399	627
389	400	626
390	401	625
391	402	623
392	402	622
393	403	620
394	404	618
395	404	617
396	405	615
397	406	614
398	406	612
399	407	611
400	408	609
401	408	608
402	409	606
403	410	605
404	411	603
405	411	602
406	412	600
407	412	599
408	413	597
409	414	596
410	415	594
411	415	593
412	416	591
413	416	590
414	417	588
415	418	587
416	418	585
417	419	583
418	420	582
419	420	581
420	421	579
421	422	578
422	423	577
423	423	575
424	424	574
425	425	573
426	425	571
427	426	570
428	427	568
429	427	567
430	428	565
431	428	564
432	429	562
433	430	560
434	430	559
435	431	557
436	431	556
437	432	555
438	433	553
439	433	552
440	434	550
441	435	549
442	435	547
443	436	546
444	436	544
445	437	543
446	438	542
447	439	541
448	439	539
449	440	538
450	441	537
451	441	535
452	442	534
453	443	532
454	443	531
455	444	530
456	444	528
457	445	527
458	446	525
459	446	524
460	447	523
461	447	521
462	448	520
463	449	518
464	449	517
465	450	515
466	450	514
467	451	513
468	452	511
469	452	510
470	453	509
471	453	507
472	454	506
473	455	505
474	455	503
475	456	502
476	456	501
477	457	499
478	458	498
479	458	496
480	459	495
481	459	494
482	460	492
483	461	491
484	461	490
485	462	488
486	462	487
487	463	486
488	464	484
489	464	483
490	465	482
491	465	481
492	466	479
493	466	478
494	467	476
495	468	475
496	468	474
497	469	473
498	470	471
499	470	470
500	471	469
501	471	468
502	472	466
503	472	465
504	473	464
505	474	462
506	474	461
507	475	460
508	475	458
509	476	457
510	476	456
511	477	455
512	478	453
513	478	452
514	479	451
515	479	450
516	480	448
517	481	447
518	481	446
519	482	445
520	483	444
521	483	442
522	484	441
523	484	440
524	485	439
525	486	438
526	486	436
527	487	435
528	488	434
529	488	433
530	489	432
531	490	431
532	490	430
533	491	428
534	492	427
535	492	426
536	493	425
537	494	424
538	494	423
539	495	422
540	496	420
541	496	419
542	497	418
543	497	417
544	498	416
545	498	414
546	499	413
547	500	412
548	501	411
549	501	410
550	502	409
551	502	408
552	503	407
553	504	405
554	505	404
555	505	403
556	506	402
557	507	401
558	507	400
559	508	399
560	508	398
561	509	396
562	509	395
563	510	394
564	511	393
565	511	392
566	512	391
567	513	390
568	513	389
569	514	388
570	514	386
571	515	385
572	516	385
573	517	383
574	517	382
575	518	381
576	519	380
577	519	379
578	520	378
579	520	377
580	521	375
581	521	374
582	522	373
583	522	372
584	523	371
585	524	370
586	524	369
587	525	368
588	525	366
589	526	365
590	526	364
591	527	363
592	527	362
593	528	361
594	528	359
595	529	358
596	529	357
597	530	356
598	530	355
599	531	354
600	531	353
601	532	352
602	532	350
603	533	349
604	533	348
605	534	347
606	534	346
607	535	345
608	536	344
609	536	343
610	537	342
611	538	341
612	538	340
613	539	339
614	539	337
615	540	336
616	540	335
617	541	334
618	542	333
619	542	332
620	543	331
621	544	330
622	544	329
623	545	328
624	545	327
625	546	326
626	547	325
627	547	324
628	549	323
629	549	322
630	550	321
631	550	320
632	551	319
633	552	318
634	552	317
635	553	316
636	553	315
637	554	314
638	554	313
639	555	312
640	556	311
641	556	310
642	557	309
643	557	308
644	558	307
645	558	306
646	559	305
647	560	304
648	560	303
649	561	302
650	561	301
651	562	300
652	562	299
653	563	298
654	563	296
655	564	295
656	564	294
657	565	293
658	566	292
659	566	292
660	567	291
661	568	290
662	569	289
663	569	288
664	570	287
665	570	286
666	571	285
667	572	284
668	572	283
669	573	282
670	574	281
671	575	280
672	575	279
673	576	278
674	576	277
675	577	276
676	577	275
677	578	274
678	579	273
679	579	272
680	580	271
681	580	270
682	581	269
683	582	268
684	582	267
685	583	267
686	584	266
687	584	265
688	585	264
689	586	263
690	587	262
691	587	261
692	588	260
693	588	259
694	589	258
695	590	257
696	590	256
697	591	255
698	591	254
699	592	253
700	593	253
701	593	252
702	594	251
703	595	250
704	595	249
705	596	248
706	597	247
707	597	246
708	598	245
709	599	244
710	599	243
711	600	242
712	600	241
713	601	240
714	602	240
715	603	239
716	603	238
717	604	237
718	605	236
719	605	235
720	606	234
721	606	233
722	607	232
723	607	231
724	608	230
725	609	229
726	609	229
727	610	228
728	611	227
729	611	226
730	612	225
731	612	224
732	613	223
733	614	222
734	614	221
735	615	220
736	615	219
737	616	218
738	616	217
739	617	216
740	617	215
741	618	215
742	619	214
743	619	213
744	620	212
745	621	211
746	621	210
747	622	209
748	623	208
749	623	207
750	624	207
751	625	206
752	625	205
753	626	204
754	626	203
755	627	202
756	627	201
757	628	200
758	629	199
759	629	198
760	630	198
761	631	197
762	631	196
763	632	195
764	633	194
765	633	193
766	634	192
767	636	192
768	637	191
769	637	190
770	638	189
771	639	188
772	640	188
773	641	187
774	642	186
775	643	185
776	644	184
777	644	183
778	645	183
779	645	182
780	646	181
781	647	180
782	649	179
783	649	179
784	650	178
785	651	177
786	651	176
787	652	175
788	654	174
789	654	174
790	655	173
791	656	172
792	656	171
793	657	170
794	658	169
795	659	169
796	660	168
797	661	167
798	662	166
799	663	165
800	663	164
801	664	164
802	665	163
803	666	162
804	667	161
805	667	160
806	668	159
807	669	159
808	670	158
809	671	157
810	672	156
811	673	155
812	674	155
813	674	154
814	675	153
815	676	152
816	677	151
817	678	150
818	678	150
819	679	149
820	680	148
821	680	147
822	681	146
823	682	145
824	683	144
825	684	144
826	684	143
827	685	142
828	686	141
829	687	140
830	688	139
831	689	139
832	690	138
833	690	137
834	691	136
835	692	135
836	692	134
837	693	134
838	694	133
839	695	132
840	696	131
841	697	130
842	697	129
843	698	129
844	698	128
845	699	127
846	700	126
847	701	125
848	702	124
849	703	124
850	703	123
851	704	122
852	705	121
853	705	120
854	706	119
855	707	119
856	708	118
857	709	117
858	709	116
859	710	115
860	710	114
861	711	113
862	712	113
863	713	112
864	714	111
865	715	110
866	715	109
867	716	108
868	717	108
869	723	108
870	726	107
871	729	107
872	730	106
873	731	105
874	732	104
875	733	103
876	734	102
877	734	102
878	735	101
879	736	100
880	737	99
881	738	98
882	739	97
883	740	97
884	740	96
885	741	95
886	741	94
887	742	93
888	744	92
889	745	92
890	746	91
891	746	90
892	747	89
893	748	88
894	749	87
895	750	87
896	751	86
897	751	85
898	752	84
899	753	83
900	753	82
901	754	81
902	755	81
903	756	80
904	757	79
905	758	78
906	758	77
907	759	76
908	759	76
909	760	75
910	762	74
911	762	73
912	763	72
913	764	71
914	765	71
915	766	70
916	767	69
917	768	68
918	769	67
919	769	66
920	770	66
921	772	65
922	773	64
923	774	63
924	776	62
925	776	62
926	777	61
927	777	60
928	779	59
929	780	58
930	781	57
931	781	57
932	782	56
933	783	55
934	783	54
935	785	53
936	786	52
937	787	52
938	788	51
939	788	50
940	789	49
941	790	48
942	792	47
943	792	47
944	793	46
945	794	45
946	795	44
947	795	43
948	798	42
949	799	42
950	800	41
951	801	40
952	802	39
953	803	38
954	804	37
955	805	37
956	805	36
957	806	35
958	807	34
959	807	33
960	808	32
961	809	31
962	810	31
963	811	30
964	812	29
965	813	28
966	813	27
967	814	26
968	815	26
969	816	25
970	817	24
971	818	23
972	818	22
973	819	21
974	819	21
975	820	20
976	821	19
977	821	18
978	822	17
979	822	16
980	823	15
981	824	15
982	825	14
983	826	13
984	827	12
985	828	11
986	828	10
987	830	10
988	830	9
989	831	8
990	832	7
991	833	6
992	834	5
993	834	5
994	835	4
995	835	3
996	836	2
997	837	1
998	837	0
999	838	0
